"id","year","lat","lng","category","title_tr","location_tr","description_tr","title_en","location_en","description_en"
"12","1916","37.9118","40.2375","mimarlik","Suriçi'nde İlk Modern İmar","Diyarbakır Sur","Saray Kapısı ile bugünkü Dörtyol arasında ilk geniş cadde açıldı. Tehcir sonrası boşalan Ermeni mahallelerinde Avrupa-tipi imar müdahalesi; 1932 Ankara-modelli planın habercisi.","First Modern Planning Cut in Sur","Diyarbakır Sur","The first wide avenue between Saray Gate and present-day Dörtyol. A European-style intervention into the emptied Armenian quarters."
"13","1923","46.5197","6.6323","hukuki","Lozan Antlaşması","Lozan","Madde 38–44 azınlık hakları yalnızca gayrimüslimler için. Süryaniler ve Kürtler kategorik olarak dışlandı. Madde 39/4-5 dil hakları Kürtler için fiilen uygulanmadı.","Treaty of Lausanne","Lausanne","Articles 38–44 reserved minority rights solely for non-Muslims. Syriacs and Kurds were categorically excluded."
"14","1924","39.9334","32.8597","hukuki","442 sayılı Köy Kanunu","Ankara","Bugün hâlâ yürürlüktedir. Madde 8 köy korucusu müessesesini tanımlar — 1985 Geçici Köy Korucusu sisteminin ve 2016 'güvenlik korucusu' adının hukuki dayanağı.","Law No. 442 — Village Law","Ankara","Still in force. Article 8 defines the village guard institution — the legal basis for the 1985 Temporary Village Guard system."
"15","1925","38.3736","40.0703","direnis","Şeyh Said İsyanı","Piran / Dicle","13 Şubat – 15 Nisan 1925. Şeyh Said ve 46 arkadaşı 29 Haziran 1925'te Diyarbakır İstiklâl Mahkemesi'nde Dağkapı önünde idam edildi. Sonraki 70 yılın hukuki-askeri rejiminin ilk gerekçesi.","Sheikh Said Rebellion","Piran / Dicle","13 February – 15 April 1925. Sheikh Said and 46 companions hanged on 29 June 1925 at Dağkapı. The first justification of the next 70 years of legal-military regime."
"16","1925","39.9334","32.8597","hukuki","Şark Islahat Planı — 27 madde","Ankara","24 Eylül 1925. İnönü, Çakmak, Bozkurt, Bayar imzalı gizli kararname. Madde 13: Türkçeden başka dil cezalandırılır. Madde 19: Kürtler memur ve jandarma olarak istihdam edilmeyecek. 2002'ye kadar fiilen yürürlükte kaldı.","Eastern Reform Plan — 27 Articles","Ankara","24 September 1925. A secret decree. Article 13: any language other than Turkish would be punished. Article 19: Kurds could not serve as officials or gendarmes. De facto in force until 2002."
"17","1927","37.9144","40.2306","hukuki","Birinci Umumi Müfettişlik","Diyarbakır","11 Aralık 1927, 5977 sayılı kararname. 7 vilayet. İbrahim Tali Öngören atandı. Bölge fiilen olağanüstü hal rejimiyle yönetilmeye başlandı. 1948'de fiilen kalktı.","First Inspectorate-General","Diyarbakır","11 December 1927. Seven provinces. The region entered a de facto state of emergency regime. Dissolved in 1948."
"18","1927","37.9144","40.2306","yerinden","1097 sayılı Sürgün Kanunu","Diyarbakır","25 Haziran 1927. Diyarbakır ve Bayezit vilayetlerinden 1.400 kişinin batı illerine sürgün edilmesi; yerlerine Romanya, Bulgaristan, Kıbrıs, Kafkasya'dan Müslüman muhacirlerin iskânı.","Law No. 1097 — Exile Law","Diyarbakır","25 June 1927. 1,400 people exiled to western provinces; in their place, Muslim migrants from Romania, Bulgaria, Cyprus and the Caucasus settled."
"19","1930","39.0708","43.3458","yerinden","Zilan Katliamı","Zilan Deresi / Erciş","13 Temmuz 1930. Resmi rakam 5.000; Cumhuriyet gazetesi (Yusuf Mazhar): 15.000; Hesen Hîşyar Serdî: 47.000. 44 köy yok edildi (Hoybun: 220 köy). Türk Hava Kuvvetleri ilk büyük 'stajını' bombardımanlarda yaptı.","Zilan Massacre","Zilan Valley / Erciş","13 July 1930. Official: 5,000; Cumhuriyet newspaper: 15,000; Hesen Hîşyar Serdî: 47,000. 44 villages destroyed (Hoybun: 220)."
"20","1931","37.9118","40.2375","mimarlik","Diyarbakır Surlarının Kısmen Yıkımı","Diyarbakır Sur","5.700 m bazalt surun 'şehre hava girsin' gerekçesiyle Harput Kapısı çevresinde ~200 m bölümünün dinamitlenmesi. 1932'de Albert Louis Gabriel'in raporu üzerine yıkım durduruldu.","Partial Demolition of Diyarbakır City Walls","Diyarbakır Sur","~200 m of the 5,700 m basalt walls dynamited near Harput Gate. Halted in 1932 following Albert Louis Gabriel's report."
"21","1932","37.9118","40.2375","mimarlik","Ankara-Modelli İmar Planı — İzzet Paşa Caddesi","Diyarbakır Sur","Ankara modeli alınarak hazırlandı. İzzet Paşa Caddesi Suriçi'nin içinden geçen yeni bir ticari aks olarak açıldı; ortaçağ kent dokusunu modern bir ulaşım hattıyla yardı.","Ankara-Modelled Master Plan","Diyarbakır Sur","A plan modelled on Ankara. İzzet Paşa Avenue cut through Sur — slicing the medieval urban fabric."
"22","1932","37.85","40.05","yerinden","Kıtırbıl — Romanya Muhacirleri","Diyarbakır Kıtırbıl","Romanya-Dobruca'dan gelen Türk muhacirler Kıtırbıl'a yerleştirildi. Üç odalı 23 ev; 46 hane / 166 nüfus. Şark Islahat'ın 'Kürt nüfusu seyreltme' politikasının somut uygulaması.","Kıtırbıl — Romanian Settlers","Diyarbakır Kıtırbıl","Turkish migrants from Dobruja, Romania settled in Kıtırbıl. 23 houses; 46 households / 166 inhabitants."
"23","1934","39.9334","32.8597","hukuki","2510 sayılı İskân Kanunu — Üç-bölge tipolojisi","Ankara","14 Haziran 1934. 52 maddelik demografi mühendisliği aygıtı. Madde 2: 1) Türk kültürlü yoğun bölgeler, 2) Asimilasyon bölgeleri, 3) Yasaklı bölgeler. Diyarbakır'dan 25.831 kişi (5.074 hane) sürüldü; 1947'de 22.516 geri döndü.","Law No. 2510 — Resettlement Law","Ankara","14 June 1934. A 52-article instrument of demographic engineering. From Diyarbakır 25,831 people (5,074 households) deported; in 1947, 22,516 returned."
"24","1934","41.6764","26.5557","yerinden","Trakya Pogromu","Trakya / Edirne","21 Haziran–4 Temmuz 1934. İskân Kanunu'yla eşzamanlı. Tekirdağ, Çanakkale, Edirne, Kırklareli'nde 15.000+ Yahudi'ye saldırı, talan, göçe zorlama.","Thrace Pogrom","Thrace / Edirne","21 June–4 July 1934. Simultaneous with the Resettlement Law. Over 15,000 Jews attacked, looted, and forced to flee."
"25","1935","39.1075","39.5483","hukuki","2884 sayılı Tunceli Kanunu","Tunceli / Dersim","25 Aralık 1935. Dersim → Tunceli. Korgeneral düzeyinde vali-komutan (Abdullah Alpdoğan), daimi sıkıyönetim, doğrudan idama varan yetkiler. 1937–38 Dersim Soykırımı'nın hukuki çerçevesi.","Law No. 2884 — Tunceli Law","Tunceli / Dersim","25 December 1935. Dersim renamed Tunceli. A general-rank governor-commander, permanent martial law. The legal framework of the 1937–38 Dersim Genocide."
"26","1937","39.1075","39.5483","yerinden","Dersim Soykırımı (Tertele)","Tunceli / Dersim","Mart 1937 – Kasım 1938. 3. Ordu ve 7. Kolordu, hava bombardımanı, mağaralara zehirli gaz. Genelkurmay: 13.160 ölü, 11.818 sürgün; akademik: 40.000–70.000. 15 Kasım 1937: Seyit Rıza, Elazığ Buğday Meydanı'nda 6 arkadaşıyla idam. 'Kayıp Kızlar': Alevi-Kürt kız çocukları evlatlık olarak dağıtıldı.","Dersim Genocide (Tertele)","Tunceli / Dersim","March 1937 – November 1938. The 3rd Army and 7th Corps, aerial bombing, poison gas in caves. General Staff: 13,160 dead; academic estimates: 40,000–70,000. 15 November 1937: Seyit Rıza hanged with six comrades."
"27","1937","37.9144","40.2306","mimarlik","Diyarbekir → Diyarbakır","Diyarbakır","Mustafa Kemal'in emriyle Belediye Meclis Kararıyla Diyarbekir adı Diyarbakır'a dönüştürüldü. 'Bakır gibi diyar' söylencesiyle gerekçelendirildi; aslen 'Diyâr-ı Bekr' anlamındaydı.","Diyarbekir → Diyarbakır","Diyarbakır","By order of Mustafa Kemal, the name was changed. Justified by the legend of 'a land like copper'; originally it meant 'the lands of [the tribe of] Bekr'."
"28","1942","37.4178","41.3422","yerinden","Varlık Vergisi — Midyat Süryani Esnafı","Midyat","11 Kasım 1942. Gayrimüslimler %50, Müslümanlar %12,5 matrah. Midyat çarşısı esnafı ödeyemediği için mülklerini terk edip Avrupa'ya göçtü. Ödeyemeyenler Aşkale ve Sivrihisar çalışma kamplarına sürüldü.","Wealth Tax — Midyat Syriac Tradesmen","Midyat","11 November 1942. Non-Muslims taxed at 50%, Muslims at 12.5%. Syriac shopkeepers in Midyat left their properties for Europe."
"29","1946","37.9144","40.2306","mimarlik","Doğu Yapı İşleri Müdürlüğü","Diyarbakır","Bayındırlık Bakanlığı'na bağlı, Diyarbakır merkezli. 10 vilayetin bayındırlık işleri. Standartlaştırılmış memur lojmanı tipolojisi — beton iskeletli, simetrik plan, dağ taşı kaplama. Doğu illerinde 'devlet mimarisi' sembolü.","Eastern Public Works Directorate","Diyarbakır","A Diyarbakır-based body. A standardised civil servant housing typology — the visual emblem of 'state architecture' in the East."
"30","1948","37.9144","40.2306","yerinden","Yahudilerin İsrail'e 'Büyük Dalga' Göçü","Diyarbakır","1948–51 arasında Türkiye'den 34.547 Yahudi İsrail'e göç etti. Diyarbakır'ın Yahudi cemaati neredeyse tamamen tasfiye oldu: 1945'te 441 kişi; 1951'de 27 kişi.","Jewish Migration to Israel","Diyarbakır","Between 1948–51, 34,547 Jews emigrated. Diyarbakır's Jewish community was almost entirely dissolved: 441 in 1945; 27 in 1951."
"31","1949","37.92","40.215","mimarlik","Yenişehir / Asri Kent","Diyarbakır Yenişehir","Dağkapı ve istasyon arasındaki Asri Şehir. Geniş bulvarlar, ızgara plan, çok katlı apartman. Cumhuriyet-modernist kentleşmenin ifadesi. Suriçi giderek 'yerli/yoksul/Kürt' mekânına sıkıştırıldı.","Yenişehir / The Modern City","Diyarbakır Yenişehir","Wide boulevards, grid plan, multi-storey apartments. Sur was progressively confined to a space coded as 'local/poor/Kurdish'."
"32","1953","40.8675","29.0925","hukuki","Heybeliada Ruhban Okulu Açılması","İstanbul","Lozan 41. madde kapsamında yeniden açıldı. 1971'de Yüksek Öğretim Kanunu gerekçesiyle kapatıldı; bugüne dek açılamadı.","Halki Theological School Reopens","Istanbul","Reopened under Article 41 of Lausanne. Closed in 1971; not reopened since."
"33","1955","41.0082","28.9784","yerinden","6-7 Eylül İstanbul Pogromu","İstanbul","Rum, Ermeni, Yahudi mülklerine ve mekânlarına yönelik organize saldırı. Mardin, Siirt, Diyarbakır'da kalan son gayrimüslim ailelerin batıya/yurtdışına göçünü hızlandırdı.","6-7 September Istanbul Pogrom","Istanbul","An organised assault on Greek, Armenian and Jewish properties. Accelerated the migration of the last non-Muslim families."
"34","1960","39.7477","37.0179","yerinden","27 Mayıs Darbesi — 485 Ağa Sürgünü","Sivas","1 Haziran 1960: 485 toprak ağası, aşiret reisi, şeyh ve 'Kürt milliyetçisi' şüphesi bulunan kişi Sivas-Kabakyazı kampına. 7 Ekim 1960 — 105 sayılı Kanun: 55 kişi batı vilayetlerinde mecburi iskâna tabi tutuldu.","27 May Coup — Exile of the 485 Ağas","Sivas","1 June 1960: 485 landlords, tribal leaders, sheikhs taken to the Sivas-Kabakyazı camp."
"35","1965","38.7956","38.7547","yerinden","Keban Barajı İnşaatı","Keban / Elazığ","GAP rejiminin başlangıcı. Fırat üzerinde, 1974'te su tutmaya başladı, 1975'te tamamlandı. 1.642 yerleşim yeri ve ~30.000 kişi yerinden edildi.","Keban Dam Construction","Keban / Elazığ","The opening of the GAP regime. 1,642 settlements affected and ~30,000 people displaced."
"36","1971","37.9144","40.2306","direnis","12 Mart Muhtırası — DDKO Kapatma","Diyarbakır","Diyarbakır, Siirt, Mardin'de sıkıyönetim. DDKO (Devrimci Doğu Kültür Ocakları) kapatıldı; Kürt aydın hareketinin önde gelen isimleri tutuklandı.","12 March Memorandum — Closure of DDKO","Diyarbakır","Martial law in Diyarbakır, Siirt and Mardin. The DDKO were closed."
"37","1975","38.45","40.6431","yerinden","Lice Depremi","Lice","6 Eylül 1975, 6.6 Ms. 23 saniyelik deprem. 2.385 ölü, 8.149 hasarlı/yıkılmış bina. Kerpiç yapı malzemesi ölü sayısını artırdı.","Lice Earthquake","Lice","6 September 1975, 6.6 Ms. 2,385 dead, 8,149 buildings damaged or destroyed."
"38","1976","38.2089","39.2972","yerinden","Karakaya Barajı / Çüngüş","Karakaya / Çüngüş","Fırat Nehri üzerinde. 1976–87 arasında inşa, elektrik üretimi 1987. Çüngüş, Eğil ve çevre köylerden binlerce kişi yerinden edildi.","Karakaya Dam / Çüngüş","Karakaya / Çüngüş","On the Euphrates. Built between 1976–87. Thousands from Çüngüş, Eğil and surrounding villages displaced."
"39","1978","38.45","40.6431","direnis","PKK'nın Kuruluşu — Fis Köyü, Lice","Fis / Lice","27 Kasım 1978. Diyarbakır'ın Lice ilçesi Fis (Ziyaret) köyünde 22 kurucu üye. Abdullah Öcalan genel sekreter seçildi. Sonraki 47 yılın siyasal-askerî öyküsünün kurucu olayı.","Founding of the PKK","Fis / Lice","27 November 1978. Twenty-two founding members. Öcalan elected general secretary."
"40","1980","37.9144","40.2306","direnis","Diyarbakır 5 Nolu Cezaevi","Diyarbakır","12 Eylül 1980 darbesi sonrası Türkiye'nin en sistematik işkence merkezi. Mazlum Doğan 21 Mart 1982 Newroz günü kendini yaktı. Kemal Pir, Hayri Durmuş, Akif Yılmaz, Ali Çiçek Eylül 1982'de açlık grevinde öldü.","Diyarbakır Military Prison No. 5","Diyarbakır","Following the 12 September 1980 coup, the most systematic torture centre in Turkey. Mazlum Doğan self-immolated on 21 March 1982."
"41","1983","39.9334","32.8597","hukuki","2932 sayılı Kürtçe Yasağı","Ankara","'Türk vatandaşlarının ana dili Türkçedir.' Kürtçenin kasete bile alınması suç. 12 Nisan 1991'de yürürlükten kaldırıldı.","Law No. 2932 — Kurdish Language Ban","Ankara","'The mother tongue of Turkish citizens is Turkish.' Even recording Kurdish on cassette was criminalised. Repealed 12 April 1991."
"42","1984","37.7344","41.7967","direnis","Eruh ve Şemdinli Baskınları","Eruh / Siirt","15 Ağustos 1984. 'Agit' kod adlı Mahsun Korkmaz komutasında Eruh'a, Abdullah Ekinci komutasında Şemdinli'ye saldırı. Sonraki 41 yıllık silahlı çatışmanın başlangıcı.","Eruh and Şemdinli Raids","Eruh / Siirt","15 August 1984. The opening of the 41-year armed conflict."
"43","1985","37.7344","41.7967","hukuki","Geçici Köy Korucusu Sistemi","Eruh / Siirt","26 Mart 1985. Köy Kanunu 74. madde değişikliği. Eruh'ta gönüllü 4 kişiyle başladı. Günümüzde 71.907 korucu. 2016'da 'güvenlik korucusu' adı verildi.","Temporary Village Guard System","Eruh / Siirt","26 March 1985. Began in Eruh with four volunteers. Today 71,907 guards."
"44","1987","37.9144","40.2306","hukuki","OHAL Bölge Valiliği","Diyarbakır","19 Temmuz 1987 – 30 Kasım 2002. KHK 285. 13 il. Valilere yıkım, sansür, boşaltma yetkileri. 15 yıl 4 ay sürdü.","OHAL Regional Governorate","Diyarbakır","19 July 1987 – 30 November 2002. Thirteen provinces. Fifteen years, four months."
"45","1988","37.9118","40.2375","mimarlik","Suriçi Kentsel Sit Tescili","Diyarbakır Sur","595 tescilli yapı (147 anıtsal + 448 sivil): Ulu Cami, Hz. Süleyman Cami, Behram Paşa, Hasanpaşa Hanı, Surp Giragos, Meryem Ana Süryani, Mor Petyun Keldani, Dört Ayaklı Minare, Cemil Paşa Konağı.","Sur Listed as Urban Conservation Area","Diyarbakır Sur","595 registered buildings (147 monumental + 448 civil)."
"46","1989","37.4892","38.3175","yerinden","GAP — Güneydoğu Anadolu Projesi","Atatürk Barajı","22 baraj, 19 HES. TVA modeli. 1,8 milyon hektar sulama; 7.476 MW; 27 milyar kWh/yıl. 9 il. 558 yerleşim etkilendi.","GAP — Southeastern Anatolia Project","Atatürk Dam","22 dams, 19 hydroelectric plants. 1.8 million hectares. Nine provinces. 558 settlements affected."
"47","1990","37.4892","38.3175","yerinden","Atatürk Barajı — ~55.000 yerinden","Atatürk Barajı","İnşaat 1983, su tutma 1990, açılış 25 Temmuz 1992. Dünyanın o tarihteki 3. büyük dolgu barajı. ~55.000 kişi yerinden.","Atatürk Dam — ~55,000 displaced","Atatürk Dam","Construction 1983, impoundment 1990, opening 25 July 1992. ~55,000 people displaced."
"48","1992","37.3303","42.1899","direnis","Cizre Newroz Katliamı","Cizre","21 Mart 1992. Newroz kutlamalarına güvenlik güçlerinin ateş açması sonucu en az 30 kişi öldü.","Cizre Newroz Massacre","Cizre","21 March 1992. Security forces opened fire on Newroz celebrations; at least 30 died."
"49","1993","38.45","40.6431","yikim","Lice İlçe Merkezi Yakıldı","Lice","22-23 Ekim 1993. İlçe merkezi askerî operasyon sırasında büyük ölçüde yandı. 16 sivil ölü, 401 ev yandı.","Burning of Lice Town Centre","Lice","22-23 October 1993. 16 civilians killed, 401 houses burned."
"50","1993","39.7477","37.0179","direnis","Sivas Madımak Katliamı","Sivas Madımak","2 Temmuz 1993. Pir Sultan Abdal Kültür Festivali sırasında Madımak Oteli'nin ateşe verilmesiyle 33 aydın ve 2 otel çalışanı yakılarak öldürüldü.","Sivas Madımak Massacre","Sivas Madımak","2 July 1993. 33 intellectuals and 2 hotel workers burned to death."
"51","1993","37.9144","40.2306","yerinden","OHAL Köy Boşaltmalarının Doruğu","Diyarbakır","1993–96 arasında köy boşaltmaları yoğunlaştı. TBMM Göç Komisyonu (1998): 3.428 köy/mezra, 378.335 kişi. HÜNEE TGYONA 2006: 953.680–1.201.200. İHD: 1.500.000'e kadar.","Peak of OHAL Village Evictions","Diyarbakır","Parliamentary Migration Commission (1998): 3,428 villages, 378,335 people. HÜNEE 2006: 953,680–1,201,200."
"52","1999","40.4906","28.5189","direnis","Öcalan'ın Yakalanması","İmralı","15 Şubat 1999'da Kenya'da yakalanan Abdullah Öcalan İmralı Adası'na hapsedildi.","Capture of Öcalan","İmralı","On 15 February 1999, captured in Kenya, imprisoned on İmralı Island."
"53","2000","37.2461","37.8639","yerinden","Birecik Barajı — Eski Halfeti Sular Altında","Halfeti","Birecik Barajı baraj gölünün dolmasıyla eski Halfeti sular altında kaldı; Rumkale yarı yarıya suya gömüldü; yerleşim Karaotlak'a taşındı.","Birecik Dam — Old Halfeti Submerged","Halfeti","As the Birecik Dam reservoir filled, old Halfeti was submerged; Rumkale half-drowned."
"54","2002","37.4242","41.5067","hukuki","Yeni Vakıflar Kanunu — Süryani Mülkleri","Mor Gabriel","1974'ten beri ele konan Rum vakıflarına ait 152, Ermeni 48 ve Süryani 6 bina/arsa eski sahiplerine veya Hazineye devredildi. 2008'de Mor Gabriel Manastırı (M.S. 397) topraklarına el konulmak istendi.","New Foundations Law — Syriac Properties","Mor Gabriel","Properties seized since 1974 were either returned or transferred to the Treasury. In 2008, an attempt was made to seize lands of Mor Gabriel Monastery (397 CE)."
"55","2005","39.9334","32.8597","hukuki","5366 sayılı Yenileme Kanunu","Ankara","16 Haziran 2005. 'Yıpranan Tarihi ve Kültürel Taşınmaz Varlıklar.' Sözde koruma, fiilen Sur, Mardin, Tarlabaşı, Sulukule'de mülksüzleştirici 'yenileme' operasyonlarının ana yasal aracı.","Law No. 5366 — 'Renewal' Law","Ankara","16 June 2005. The main legal instrument of dispossessive 'renewal' operations."
"56","2005","37.9144","40.2306","direnis","Erdoğan'ın Diyarbakır Konuşması","Diyarbakır","12 Ağustos 2005. Başbakan Erdoğan Diyarbakır'da 'Kürt sorunu vardır' diyerek tarihi bir konuşma yaptı.","Erdoğan's Diyarbakır Speech","Diyarbakır","12 August 2005. 'There is a Kurdish question.'"
"57","2007","37.7142","41.4119","yikim","Ilısu Barajı Temeli Atıldı","Ilısu / Hasankeyf","5 Eylül 2007. GAP'ın 'son büyük projesi.' Avusturya, Almanya, İsviçre konsorsiyumu Temmuz 2009'da insan hakları ve çevre kaygılarıyla çekildi; proje Türk hükümetinin yerli finansmanıyla devam etti.","Ilısu Dam Groundbreaking","Ilısu / Hasankeyf","5 September 2007. The Austrian-German-Swiss consortium withdrew in July 2009 over human rights concerns."
"58","2011","37.5544","43.6708","direnis","Roboski / Uludere Katliamı — 34 Sivil","Roboski / Uludere","28 Aralık 2011. Roboski köyünden 34 sivil (19'u 18 yaşından küçük) F-16 bombardımanıyla öldürüldü. Soruşturma takipsizlikle sonuçlandı.","Roboski / Uludere Massacre","Roboski / Uludere","28 December 2011. 34 civilians (19 under 18) killed by F-16 bombing."
"59","2012","37.9118","40.2375","hukuki","6306 sayılı Afet Yasası — Sur 'Riskli Alan'","Diyarbakır Sur","31 Mayıs 2012. 22 Ekim 2012 BKK: Sur ilçesinin tamamı 'riskli alan' — 7.714 taşınmazın 6.292'si bu kapsamda.","Law No. 6306 — Sur as 'Risk Area'","Diyarbakır Sur","31 May 2012. The entirety of Sur declared a 'risk area' — 6,292 of 7,714 properties."
"60","2012","37.5164","42.4611","mimarlik","Kalekol Mimarisi","Şırnak","'Kale' + 'karakol.' Türkiye–Irak sınırında Şırnak-Hakkari arasında 149 kalekol inşa edildi; toplam 402 planlandı. İki kilometre aralıklarla — askerî denetim ağı + demografi mühendisliği aygıtı.","Kalekol — 'Fortress-Station' Architecture","Şırnak","A neologism of 'castle' + 'police station.' 149 kalekol built along the Turkey-Iraq border; 402 planned."
"61","2013","37.9144","40.2306","direnis","Çözüm Süreci — Öcalan'ın Newroz Mesajı","Diyarbakır","21 Mart 2013. Diyarbakır Newroz alanında Öcalan'ın mesajı: 'Silahlı unsurlarımız sınır dışına çekilsin.' PKK 8 Mayıs 2013'te sınır dışına çekilme operasyonunu başlattı.","Peace Process — Öcalan's Newroz Message","Diyarbakır","21 March 2013. 'Let our armed elements withdraw across the border.'"
"62","2013","36.2675","36.5681","direnis","Reyhanlı Bombalı Saldırıları","Reyhanlı","11 Mayıs 2013. Hatay-Reyhanlı'da iki bombalı saldırı: 52 ölü, 146 yaralı.","Reyhanlı Bombings","Reyhanlı","11 May 2013. Two car bombs: 52 dead, 146 wounded."
"63","2014","37.905","40.2425","direnis","Hevsel Bahçeleri Direnişi","Hevsel Bahçeleri","Mart 2014. Dicle Üniversitesi'nin 1.000'e yakın ağaç ve sazlık kesmesine karşı yaklaşık bir ay süren direniş.","Hevsel Gardens Resistance","Hevsel Gardens","March 2014. A month-long resistance against the felling of nearly a thousand trees."
